,Ngram,Normal mean,Normal sem,Cluster 0 mean,Cluster 0 sem,Cluster 1 mean,Cluster 1 sem,Cluster 2 mean,Cluster 2 sem
348,accept4,1.0,[0.],1.0,[0.],1.0,[0.],0.0,0.0
434,accept4 getsockname,1.0,[0.],1.0,[0.],1.0,[0.],0.0,0.0
271,accept4 getsockname fcntl,1.0,[0.],1.0,[0.],1.0,[0.],0.0,0.0
47,access,35.28907941839395,[0.00396075],35.775862068965516,[0.14900279],54.111111111111114,[2.45782772],65.4,[7.11055553]
64,access access,22.27281566270385,[0.00420356],22.50862068965517,[0.16081487],41.111111111111114,[2.45782772],45.4,[6.17737808]
420,access access access,14.258430194015999,[0.00396287],14.344827586206897,[0.15051309],32.27777777777778,[2.4019209],34.2,[5.50817574]
287,access access mmap,0.003027356697750475,[0.00030022],0.15517241379310345,[0.04679127],0.0,0.0,0.2,[0.2]
471,access access nanosleep,0.998254297962611,[0.00019624],0.9913793103448276,[0.00862069],1.0,[0.],0.6,[0.24494897]
308,access access newlstat,0.0020550669554072567,[0.00027137],0.04310344827586207,[0.01893824],0.1111111111111111,[0.05312127],6.0,[1.37840488]
425,access access newstat,1.9989614177752242,[0.00040443],1.8706896551724137,[0.03576152],2.5555555555555554,[0.11577513],1.0,[0.]
73,access access open,2.0,[0.],2.0,[0.],2.0,[0.],2.0,[0.]
160,access access sendto,3.0047951562292834,[0.0005511],2.9827586206896552,[0.01724138],3.0277777777777777,[0.02777778],1.4,[0.4]
83,access access socket,0.0013700446369381712,[0.00017388],0.1206896551724138,[0.03037786],0.05555555555555555,[0.03871845],0.0,0.0
109,access access writev,0.005922128430635966,[0.00036068],0.0,0.0,0.08333333333333333,[0.04671766],0.0,0.0
367,access mmap,0.0035576965572104123,[0.00038556],0.21551724137931033,[0.06796025],0.0,0.0,0.4,[0.4]
340,access mmap access,0.0010606797189198745,[0.00021646],0.1206896551724138,[0.04441047],0.0,0.0,0.2,[0.2]
228,access mmap mmap,0.0,0.0,0.0,0.0,0.0,0.0,0.2,[0.2]
334,access mmap munmap,0.002497016838290538,[0.00023461],0.09482758620689655,[0.02732021],0.0,0.0,0.0,0.0
42,access nanosleep,0.9983205904450435,[0.00019248],0.9913793103448276,[0.00862069],1.0,[0.],0.6,[0.24494897]
208,access nanosleep nanosleep,0.9983205904450435,[0.00019248],0.9913793103448276,[0.00862069],1.0,[0.],0.6,[0.24494897]
378,access newlstat,0.008264462809917356,[0.00085439],0.12931034482758622,[0.04334266],0.1111111111111111,[0.05312127],12.2,[2.13072758]
362,access newlstat newlstat,0.003447209086489592,[0.00038999],0.08620689655172414,[0.03138236],0.08333333333333333,[0.04671766],5.4,[1.12249722]
416,access newlstat newstat,0.0048172537234277635,[0.00051301],0.04310344827586207,[0.01893824],0.027777777777777776,[0.02777778],0.0,0.0
198,access newlstat open,0.0,0.0,0.0,0.0,0.0,0.0,6.8,[1.11355287]
124,access newstat,3.0142307862288416,[0.00165554],3.060344827586207,[0.12200769],3.111111111111111,[0.05312127],1.0,[0.]
347,access newstat access,2.995934061077474,[0.00094408],2.6810344827586206,[0.08177119],2.0555555555555554,[0.06836462],0.6,[0.24494897]
106,access newstat nanosleep,0.0007292173067574137,[0.0001269],0.0,0.0,0.0,0.0,0.0,0.0
456,access newstat newlstat,0.0027400892738763424,[0.00034635],0.07758620689655173,[0.03036722],0.0,0.0,0.4,[0.24494897]
127,access newstat newstat,0.011579086931541964,[0.00069104],0.27586206896551724,[0.07990456],1.0555555555555556,[0.09713715],0.0,0.0
191,access newstat sendto,0.0015910195783798116,[0.00022085],0.017241379310344827,[0.01724138],0.0,0.0,0.0,0.0
125,access newstat writev,0.001657312060812304,[0.00019121],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
263,access open,2.00053033985946,[0.00010823],2.060344827586207,[0.02220523],2.0,[0.],2.8,[0.2]
368,access open access,0.9975471781499978,[0.00023253],1.0,[0.],1.0,[0.],1.0,[0.]
361,access open newfstat,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,0.8,[0.2]
9,access open open,1.0024528218500022,[0.00023253],1.0,[0.],1.0,[0.],1.0,[0.]
139,access sendto,4.993017191850444,[0.00059038],4.818965517241379,[0.05136683],4.777777777777778,[0.08078102],1.8,[0.37416574]
240,access sendto poll,4.980974057541875,[0.00078521],4.801724137931035,[0.05226479],4.777777777777778,[0.08078102],1.8,[0.37416574]
338,access sendto sendto,0.012043134308569408,[0.00051938],0.017241379310344827,[0.01213837],0.0,0.0,0.0,0.0
323,access socket,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
222,access socket fcntl,0.9957130861360322,[0.00030713],1.0,[0.],0.9444444444444444,[0.03871845],1.0,[0.]
441,access socket socket,0.004286913863967826,[0.00030713],0.0,0.0,0.05555555555555555,[0.03871845],0.0,0.0
94,access writev,0.9983426879391877,[0.00019121],0.9913793103448276,[0.00862069],1.0,[0.],0.2,[0.2]
144,access writev chdir,0.9508551730233792,[0.00101618],0.896551724137931,[0.02839883],0.7777777777777778,[0.07027284],0.2,[0.2]
482,access writev writev,0.04748751491580855,[0.00099977],0.09482758620689655,[0.02732021],0.2222222222222222,[0.07027284],0.0,0.0
52,brk,0.002121359437839749,[0.00043291],0.2413793103448276,[0.08882094],0.0,0.0,4.4,[0.4]
16,brk access,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
63,brk access access,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
223,brk brk,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.2,[0.2]
158,brk brk fcntl,0.0,0.0,0.0,0.0,0.0,0.0,0.2,[0.2]
59,brk brk setitimer,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
122,brk fcntl,0.0,0.0,0.0,0.0,0.0,0.0,0.2,[0.2]
67,brk fcntl munmap,0.0,0.0,0.0,0.0,0.0,0.0,0.2,[0.2]
46,brk mmap,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
494,brk mmap brk,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
357,brk setitimer,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
444,brk setitimer rt_sigaction,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
394,chdir,2.006761833208114,[0.00055285],2.0,[0.],2.0,[0.],2.0,[0.]
401,chdir chdir,0.0067618332081141996,[0.00055285],0.0,0.0,0.0,0.0,0.0,0.0
489,chdir chdir chdir,0.003425111592345428,[0.00028511],0.0,0.0,0.0,0.0,0.0,0.0
72,chdir chdir setitimer,0.003336721615768772,[0.00027109],0.0,0.0,0.0,0.0,0.0,0.0
26,chdir setitimer,2.0,[0.],2.0,[0.],2.0,[0.],2.0,[0.]
295,chdir setitimer fcntl,1.0,[0.],1.0,[0.],1.0,[0.],0.8,[0.2]
